Contrato,Objeto,tipo_obra,Endereco,Bairro,inicio,Fim,unidade_gestora,Aditivo,Tipo_contrato,CNPJ,Empresa,orgao_solicitante,modalidade_licitacao,licitacao,processo,Prazo,prazo_dias,Valor
020/2025SEMINF,"contratação de empresa especializada para instalação de sistemas de climatização, ventilação e exaustão mecânica no paço municipal, com fornecimento de mão de obra, materiais, equipamentos necessários e manutenção.",Outros,,,2025-06-25T00:00:00Z,2027-06-15T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,03.117803/0001-19,Walkam  Climatização Ltda,Secretaria Municipal De Infraestrutura,Concorrência Pública,006/2025SEMINF,75377/2024,720 DIAS,720,5995258.78
019/2025SEMINF,"contratação de empresa especializada para prestação de serviços de manutenção e conservação, visando o serviço continuo de limpeza de sarjetas, bueiros e roçada nas estradas vicinais da região serrana e do bairro imburo no município de macaé/rj, para atender às necessidades da secretaria municipal do interior",Outros,,Imburo No Município De Macaé,2025-06-23T00:00:00Z,2026-06-23T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,16.782.207/0001-03,Llc Comércio E Empreendimentos Ltda,Secretaria Executiva De Interior,Concorrência Pública,003/2025SEMINF,75554/2023,12 MESES,12,3147259.86
013/2025SEMINF,"contratação de empresa especializada para execução das obras de reforma e acréscimo no bicicross, localizado em macaé-rj, com mão de obra especializada, materiais e equipamentos necessários, sob o regime de execução indireta de empreitada por preço unitário, conforme processo administrativo nº 75.343/2024.",Reforma,,,2025-07-05T00:00:00Z,2026-02-03T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,16941560/0001-80,Fender Engenharia Ltda,Secretaria Municipal De Infraestrutura,Concorrência Pública,002/2025SEMINF,75343/2024,300 DIAS,300,1216903.84
012/2025SEMINF,"contratação de empresa especializada na prestação de serviços contínuos de manutenção da arborização urbana (poda, remoção, destocamento e trituração de árvores e controle fitossanitário), inclusive fornecimento dos materiais, equipamentos, mão de obra e supervisão técnica, em passeios públicos no município de macaé/rj",Outros,,,2025-04-25T00:00:00Z,2026-04-24T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,02.354917/0001-10,União Norte Fluminense  Engenharia E Comércio Ltda,Secretaria Executiva De Serviços Públicos,Pregão Eletrônico,021/2025SEMINF,32071/2024,12 MESES,12,1.895983214E7
011/2025SEMINF,"contratação de empresa especializada para execução de infraestrutura da localidade vale verde, localizado em macaé rj, com mão de obra especializada, materiais e equipamentos necessários",Outros,,,2025-04-09T00:00:00Z,2026-10-29T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,03.396992/0001-06,Cofranza Construtora Ltda,Secretaria Executiva De Obras,Concorrência Pública,042/2023SEMINF,76397/2023,420 DIAS,420,2.29004189E7
009/2025SEMINF,"constitui objeto do presente instrumento a prorrogação de 360 (trezentos e sessenta) dias de prazo contratual, e 120 (cento e vinte) dias de execução de serviços, bem como, o acréscimo no valor do contrato nº 009/2025-seminf, referente à contratação de empresa especializada em construção civil para construção de ponte na estrada da bicuda pequena, localizada em macaé/rj, com fornecimento de materiais, mão de obra e equipamentos necessários.",Construção,Estrada da bicuda pequena,,2025-07-12T00:00:00Z,2026-02-12T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,00346071/0001-40,Procec  Engenharia S/a,Secretaria Executiva De Interior,Concorrência Eletrônica,013/2024SEMINF,75361/2024,360 DIAS,360,2820852.21
007/2025SEMINF,"contratação de empresa especializada em construção civil para execução das obras de reforma do posto de saúde jorge caldas para funcionamento do centro de imagens, macaé/rj, com fornecimento de mão de obra, materiais e equipamentos necessários,",Reforma,,,2025-02-17T00:00:00Z,2026-12-06T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,10471095/0001-85,Engecorp Manutenção E Serviços Ltda,Secretaria Municipal Adjunta De Atenção Básica,Concorrência Pública,007/2024SEMINF,75337/2024,480 DIAS,480,7310000.0
005/2025SEMINF,"? cláusula primeira - o presente instrumento objetiva incluir e alterar dados no preâmbulo do contrato, conforme os elementos constantes do processo administrativo nº 16.475/2024,",Outros,,,2025-06-02T00:00:00Z,2026-06-02T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,12089051/0001-10,Conserma  Engenharia Ltda,Secretaria Executiva De Serviços Públicos,Pregão Eletrônico,095/2024SEMINF,16475/2024,,,
003/2025SEMINF,"contratação de empresa especializada em construção civil para execução de sistema de drenagem e águas pluviais nos bairros novo horizonte e campo do oeste, localizados em macaé - rj, com fornecimento de materiais, equipamentos e mão de obra",Drenagem,,S Novo Horizonte E Campo Do Oeste,2025-01-29T00:00:00Z,2026-11-19T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,590070810001-02,Consórcio Grande Macaé,Secretaria Executiva De Obras,Concorrência Pública,011/2024SEMINF,75348/2024,,,
030/2025SEMIINF,"contratação de empresa especializada em construção civil para demolição e construção de novo castelo d'água do colégio estadual carlos walter, localizado na rua w18, lote 221, quadra 20, no bairro lagomar macaé/rj, com fornecimento de materiais, equipamentos e mão-de-obra,",Construção,Rua w18,Lagomar Macaé,2025-08-09T00:00:00Z,2026-06-04T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,19233416/0001-88,M C Construções E Empreendimentos Ltda,Secretaria Municipal De Educação,Concorrência Eletrônica,010/2025SEMINF,75333/2025,210 DIAS,210,382482.7
